2,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2024-11-03,1905,3000 NUTLEY ST,FAIRFAX,VA,22031
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,1515,7100 BRADDOCK RD,ANNANDALE,VA,22003
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,0800,13200 WOODLAND PARK RD,HERNDON,VA,20171
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,1809,3100 FURMAN LN,ALEXANDRIA,VA,22306
2,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2024-11-03,1900,6000 LEESBURG PIKE,FALLS CHURCH,VA,22041
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1900,6000 LEESBURG PIKE,FALLS CHURCH,VA,22041
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,1839,13000 MONTEREY ESTATES DR,HERNDON,VA,20171
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2024-11-03,1940,8700 BRADDOCK AVE,ALEXANDRIA,VA,22309
1,SERV-11,SERVICE - NATURAL DEATH,2024-11-03,1901,3800 EL CAMINO PL,ALEXANDRIA,VA,22309
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,1918,3200 PONY RIDGE WAY,OAKTON,VA,22124
1,DISORD-90C-2,DISORDERLY - DISORDERLY CONDUCT,2024-11-03,1824,2400 CENTREVILLE RD,HERNDON,VA,20171
2,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,1824,2400 CENTREVILLE RD,HERNDON,VA,20171
1,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2024-11-03,1923,10700 HARLEY RD,LORTON,VA,22079
2,ANML-90Z-1,ANIMAL - RUNNING AT LARGE/UNRESTRICTED,2024-11-03,1923,10700 HARLEY RD,LORTON,VA,22079
3,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,1923,10700 HARLEY RD,LORTON,VA,22079
1,SUSP-2,SUSPICIOUS - PERSON,2024-11-03,1931,6400 TOPSAILS LN,SPRINGFIELD,VA,22150
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,1929,1400 GREENMONT CT,RESTON,VA,20190
1,SERV-2,SERVICE - CIVIL DISPUTE,2024-11-03,2010,5900 WILLIAMSBURG RD,ALEXANDRIA,VA,22303
1,SERV-2,SERVICE - CIVIL DISPUTE,2024-11-03,1600,11200 HUNTING HORSE DR,FAIRFAX STATION,VA,22039
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,1625,11000 RING RD,RESTON,VA,20190
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,1931,6300 MULTIPLEX DR,CENTREVILLE,VA,20121
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1937,7800 HERITAGE DR,ANNANDALE,VA,22003
1,LARC-23-4,LARCENY - THEFT FROM BUILDING,2024-11-03,1613,1200 RESTON AVE,HERNDON,VA,20170
1,ASSLT-13A-1,ASSAULT - AGGRAVATED,2024-11-03,1905,15100 KAMPUTA DR,CENTREVILLE,VA,20120
1,ABC-90G-10,ABC - DRINKING/TENDING ALCOHOL IN PUBLIC,2024-11-03,2008,2900 TELESTAR CT,FALLS CHURCH,VA,22042
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2024-11-03,1500,2100 CENTREVILLE RD,HERNDON,VA,20170
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,2049,11900 PLANTATION DR,GREAT FALLS,VA,22066
1,DRUNK-90Z-1,DRUNK - DRUNK/PROFANE IN PUBLIC,2024-11-03,2129,6100 BACKLICK RD,SPRINGFIELD,VA,22150
2,WARR-90Z-1,ORDER - VIOLATE EPO/PO/PPO,2024-11-03,2130,2800 JOSEPH MAKELL CT,ALEXANDRIA,VA,22306
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2024-11-03,2130,2800 JOSEPH MAKELL CT,ALEXANDRIA,VA,22306
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,2048,13600 ACORN HUNT PL,HERNDON,VA,20171
1,SERV-29,SERVICE - DOMESTIC DISPUTE,2024-11-03,1958,6000 COFFER WOODS CT,BURKE,VA,22015
1,DRUNK-90Z-1,DRUNK - DRUNK/PROFANE IN PUBLIC,2024-11-03,2109,7400 LITTLE RIVER TPKE,ANNANDALE,VA,22003
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,2206,6100 LITTLE RIVER TPKE,ALEXANDRIA,VA,22312
1,LARC-23-10,LARCENY - THEFT OF SERVICES,2024-11-03,2134,1400 NORTH POINT VILLAGE CTR,RESTON,VA,20194
1,LARC-23-9,LARCENY -  ALL OTHER LARCENY,2024-11-03,2130,7200 BEULAH ST,ALEXANDRIA,VA,22315
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,2220,3700 PICASSO PL,CHANTILLY,VA,20151
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,2035,6500 LOISDALE CT,SPRINGFIELD,VA,22150
2,DRUNK-90Z-1,DRUNK - DRUNK/PROFANE IN PUBLIC,2024-11-03,2254,3600 BARCROFT VIEW TER,FALLS CHURCH,VA,22041
1,TRES-90J-6,TRESPASSING - OTHER,2024-11-03,2254,3600 BARCROFT VIEW TER,FALLS CHURCH,VA,22041
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,2251,2600 ARLINGTON DR,ALEXANDRIA,VA,22306
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,2320,5800 TRINITY PKWY,CENTREVILLE,VA,20120
2,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2024-11-03,2323,1600 BEULAH RD,VIENNA,VA,22182
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,2323,1600 BEULAH RD,VIENNA,VA,22182
1,SERV-1,SERVICE - POLICE SERVICE,2024-11-03,2353,1900 CHAIN BRIDGE RD,MCLEAN,VA,22102
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,2310,7600 DEVRIES DR,LORTON,VA,22079
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2024-11-03,2000,6600 HUNTSMAN BLVD,SPRINGFIELD,VA,22152
1,DEST-290-2,DESTRUCTION - PRIVATE PROPERTY,2024-11-03,0830,11900 MARKET ST,RESTON,VA,20190
1,BURG-220-3,BURGLARY/BREAKING AND ENTERING,2024-11-03,2240,3300 GLEN CARLYN RD,FALLS CHURCH,VA,22041
1,SERV-33,SERVICE - NON DMV REPORTABLE CRASH,2024-11-03,1450,13000 FAIR LAKES SHOPPING CTR,FAIRFAX,VA,22033
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1343,8600 RICHMOND HWY,ALEXANDRIA,VA,22309
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-03,1127,8600 RICHMOND HWY,ALEXANDRIA,VA,22309
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,1739,1600 WATERHAVEN DR,RESTON,VA,20190
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,2130,8800 RICHMOND HWY,ALEXANDRIA,VA,22309
1,AUTO-240-4,AUTO THEFT - AUTOS,2024-11-03,1000,6000 PALLADIUM CT,ALEXANDRIA,VA,22315
1,FRAUD-26B-1,FRAUD - CREDIT CARD/AUTOMATED TELLER MACHINE FRAUD,2024-11-03,1700,1900 CHAIN BRIDGE RD,MCLEAN,VA,22102
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,1343,4300 WILSON VALLEY DR,FAIRFAX,VA,22033
1,LARC-23-6,LARCENY - THEFT FROM MOTOR VEHICLE,2024-11-03,2000,3200 SYDENHAM ST,FAIRFAX,VA,22031
1,SERV-8,SERVICE - LOST/FOUND PROPERTY,2024-11-03,1830,1900 CHAIN BRIDGE RD,MCLEAN,VA,22102
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,1930,2100 KINGS GARDEN WAY,FALLS CHURCH,VA,22043
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,1913,10100 OAKWOOD CHASE CT,OAKTON,VA,22124
1,AUTO-240-4,AUTO THEFT - AUTOS,2024-11-03,1000,6600 WAKEFIELD DR,ALEXANDRIA,VA,22307
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-03,2136,900 TOWLSTON RD,MCLEAN,VA,22102
1,ANML-90Z-6,ANIMAL - ANIMAL BITE - DOMESTIC,2024-11-03,0933,4300 LAMARRE DR,FAIRFAX,VA,22030
2,ANML-90Z-3,ANIMAL - LICENSE VIOLATION,2024-11-03,0933,4300 LAMARRE DR,FAIRFAX,VA,22030
3,ANML-90Z-2,ANIMAL - RABIES CERTIFICATE VIOLATION,2024-11-03,0933,4300 LAMARRE DR,FAIRFAX,VA,22030
1,ANML-90Z-6,ANIMAL - ANIMAL BITE - DOMESTIC,2024-11-03,1002,5800 BURKE MANOR CT,BURKE,VA,22015
1,LARC-23-7,LARCENY - THEFT OF MOTOR VEHICLE PARTS,2024-11-03,2200,7900 COLORADO SPRINGS DR,SPRINGFIELD,VA,22153
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-03,2120,900 TOWLSTON RD,MCLEAN,VA,22102
1,TRES-90J-1,TRESPASSING - PRIVATE PROPERTY,2024-11-03,2300,12500 SWEET LEAF TER,FAIRFAX,VA,22033
1,WEAP-520-3,WEAPONS - UNLAWFUL DISCHARGE/RECKLESS HANDLING,2024-11-04,0000,12100 MONUMENT DR,FAIRFAX,VA,22033
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-04,0005,4200 SUMMIT CORNER DR,FAIRFAX,VA,22030
1,SERV-6,SERVICE - ANIMAL DESTROYED BY SERVICE WEAPON,2024-11-04,0115, OX RD / SOUTH RUN OAKS DR,FAIRFAX STATION,VA,22039
1,SUSP-1,SUSPICIOUS - EVENT,2024-11-04,0146,7600 LITTLE RIVER TPKE,ANNANDALE,VA,22003
1,ASSLT-13B-1,ASSAULT - SIMPLE; NOT AGGRAVATED,2024-11-04,0149,7900 AUDUBON AVE,ALEXANDRIA,VA,22306
1,TRES-90J-6,TRESPASSING - OTHER,2024-11-04,0101,13300 TANNERY CT,FAIRFAX,VA,22033
1,LARC-23-3,LARCENY - SHOPLIFTING,2024-11-04,0159,8400 FRYE RD,ALEXANDRIA,VA,22309
